,Edita,Alina,Andrei,Liviu,Oana,Silviu,Mada,Meli,least2,gold
252_0,2.0,2.0,,,,,,,True,0
252_1,2.0,2.0,,,,,,,True,0
252_2,2.0,2.0,,,,,,,True,0
252_3,0.0,2.0,,,,,,,True,0
252_4,2.0,2.0,,,,,,,True,0
252_5,2.0,2.0,,,,,,,True,0
252_6,2.0,2.0,,,,,,,True,0
252_7,2.0,2.0,,,,,,,True,0
252_8,2.0,2.0,,,,,,,True,0
252_9,0.0,2.0,,,,,,,True,0
253_0,2.0,2.0,,,,,,,True,0
253_1,2.0,2.0,,,,,,,True,0
253_2,0.0,0.0,,,,,,,True,0
253_3,2.0,2.0,,,,,,,True,0
253_4,0.0,0.0,,,,,,,True,0
253_5,2.0,2.0,,,,,,,True,0
253_6,2.0,2.0,,,,,,,True,0
253_7,2.0,2.0,,,,,,,True,0
253_8,0.0,0.0,,,,,,,True,0
253_9,2.0,2.0,,,,,,,True,0
253_10,2.0,2.0,,,,,,,True,0
253_11,0.0,0.0,,,,,,,True,0
253_13,2.0,2.0,,,,,,,True,0
253_14,2.0,2.0,,,,,,,True,0
253_15,2.0,2.0,,,,,,,True,0
253_16,2.0,2.0,,,,,,,True,0
253_17,2.0,2.0,,,,,,,True,0
253_19,2.0,0.0,,,,,,,True,0
168_1,2.0,,,,,,,2.0,True,0
168_2,2.0,,,,,,,2.0,True,0
168_3,2.0,,,,,,,2.0,True,0
168_5,2.0,,,,,,,2.0,True,0
168_6,2.0,,,,,,,2.0,True,0
168_7,2.0,,,,,,,2.0,True,0
168_8,2.0,,,,,,,2.0,True,0
168_9,2.0,,,,,,,2.0,True,0
168_10,2.0,,,,,,,2.0,True,0
168_11,2.0,,,,,,,2.0,True,0
168_12,2.0,,,,,,,2.0,True,0
168_13,2.0,,,,,,,2.0,True,0
168_14,2.0,,,,,,,2.0,True,0
168_15,2.0,,,,,,,0.0,True,0
168_16,0.0,,,,,,,2.0,True,0
168_17,2.0,,,,,,,2.0,True,0
168_18,2.0,,,,,,,0.0,True,0
168_19,2.0,,,,,,,2.0,True,0
254_0,2.0,2.0,,,,,,,True,0
254_1,0.0,0.0,,,,,,,True,0
254_2,2.0,2.0,,,,,,,True,0
254_3,2.0,2.0,,,,,,,True,0
254_4,0.0,0.0,,,,,,,True,0
254_5,2.0,2.0,,,,,,,True,0
254_6,2.0,2.0,,,,,,,True,0
254_7,2.0,2.0,,,,,,,True,0
254_8,2.0,2.0,,,,,,,True,0
254_9,2.0,2.0,,,,,,,True,0
254_10,2.0,2.0,,,,,,,True,0
254_11,2.0,2.0,,,,,,,True,0
254_12,2.0,2.0,,,,,,,True,0
254_13,2.0,2.0,,,,,,,True,0
254_14,2.0,2.0,,,,,,,True,0
254_15,2.0,0.0,,,,,,,True,0
254_16,2.0,2.0,,,,,,,True,0
254_17,2.0,2.0,,,,,,,True,0
254_18,0.0,0.0,,,,,,,True,0
254_19,2.0,2.0,,,,,,,True,0
254_20,2.0,2.0,,,,,,,True,0
254_21,2.0,0.0,,,,,,,True,0
254_22,2.0,0.0,,,,,,,True,0
254_23,2.0,0.0,,,,,,,True,0
254_24,0.0,0.0,,,,,,,True,0
169_0,0.0,,,,,,,2.0,True,0
169_1,2.0,,,,,,,2.0,True,0
169_2,2.0,,,,,,,2.0,True,0
169_3,2.0,,,,,,,2.0,True,0
169_4,2.0,,,,,,,2.0,True,0
169_5,2.0,,,,,,,2.0,True,0
169_6,2.0,,,,,,,2.0,True,0
169_7,2.0,,,,,,,2.0,True,0
169_8,2.0,,,,,,,2.0,True,0
169_9,2.0,,,,,,,2.0,True,0
169_10,2.0,,,,,,,2.0,True,0
169_11,2.0,,,,,,,2.0,True,0
169_12,2.0,,,,,,,2.0,True,0
169_13,2.0,,,,,,,2.0,True,0
169_14,2.0,,,,,,,2.0,True,0
169_15,2.0,,,,,,,2.0,True,0
169_16,2.0,,,,,,,2.0,True,0
169_17,2.0,,,,,,,2.0,True,0
169_18,2.0,,,,,,,2.0,True,0
169_19,2.0,,,,,,,2.0,True,0
255_0,2.0,2.0,,,,,,,True,0
255_1,2.0,2.0,,,,,,,True,0
255_2,2.0,2.0,,,,,,,True,0
255_3,2.0,2.0,,,,,,,True,0
255_4,2.0,2.0,,,,,,,True,0
255_5,2.0,2.0,,,,,,,True,0
255_6,2.0,0.0,,,,,,,True,0
255_7,2.0,0.0,,,,,,,True,0
255_8,2.0,2.0,,,,,,,True,0
255_9,2.0,0.0,,,,,,,True,0
255_10,2.0,2.0,,,,,,,True,0
255_11,2.0,2.0,,,,,,,True,0
255_12,2.0,2.0,,,,,,,True,0
255_13,2.0,2.0,,,,,,,True,0
255_14,2.0,2.0,,,,,,,True,0
255_15,2.0,2.0,,,,,,,True,0
255_16,2.0,2.0,,,,,,,True,0
256_0,2.0,2.0,,,,,,,True,0
256_1,2.0,0.0,,,,,,,True,0
256_2,2.0,2.0,,,,,,,True,0
256_3,0.0,2.0,,,,,,,True,0
256_4,2.0,2.0,,,,,,,True,0
256_5,2.0,2.0,,,,,,,True,0
256_6,2.0,0.0,,,,,,,True,0
256_7,2.0,0.0,,,,,,,True,0
256_8,2.0,0.0,,,,,,,True,0
256_9,0.0,2.0,,,,,,,True,0
256_10,2.0,0.0,,,,,,,True,0
256_11,2.0,0.0,,,,,,,True,0
256_12,2.0,0.0,,,,,,,True,0
256_13,2.0,0.0,,,,,,,True,0
256_14,2.0,0.0,,,,,,,True,0
256_15,2.0,0.0,,,,,,,True,0
256_16,2.0,0.0,,,,,,,True,0
256_17,2.0,0.0,,,,,,,True,0
256_18,2.0,0.0,,,,,,,True,0
256_19,2.0,0.0,,,,,,,True,0
257_0,2.0,2.0,,,,,,,True,0
257_1,2.0,2.0,,,,,,,True,0
257_2,2.0,2.0,,,,,,,True,0
257_3,2.0,2.0,,,,,,,True,0
257_4,2.0,2.0,,,,,,,True,0
257_5,2.0,2.0,,,,,,,True,0
257_6,0.0,0.0,,,,,,,True,0
257_7,0.0,2.0,,,,,,,True,0
257_8,2.0,2.0,,,,,,,True,0
257_9,2.0,2.0,,,,,,,True,0
257_10,2.0,2.0,,,,,,,True,0
257_11,2.0,2.0,,,,,,,True,0
257_12,0.0,0.0,,,,,,,True,0
257_13,2.0,2.0,,,,,,,True,0
257_14,0.0,2.0,,,,,,,True,0
257_15,2.0,0.0,,,,,,,True,0
257_16,2.0,2.0,,,,,,,True,0
257_17,0.0,2.0,,,,,,,True,0
257_18,2.0,0.0,,,,,,,True,0
257_19,0.0,2.0,,,,,,,True,0
257_20,2.0,2.0,,,,,,,True,0
257_21,2.0,2.0,,,,,,,True,0
257_22,2.0,2.0,,,,,,,True,0
257_23,2.0,2.0,,,,,,,True,0
257_24,2.0,2.0,,,,,,,True,0
257_25,2.0,2.0,,,,,,,True,0
257_26,2.0,0.0,,,,,,,True,0
257_27,2.0,2.0,,,,,,,True,0
257_28,2.0,2.0,,,,,,,True,0
257_29,2.0,2.0,,,,,,,True,0
258_0,2.0,2.0,,,,,,,True,0
258_1,2.0,2.0,,,,,,,True,0
258_2,2.0,2.0,,,,,,,True,0
258_3,2.0,2.0,,,,,,,True,0
258_4,2.0,2.0,,,,,,,True,0
258_5,2.0,2.0,,,,,,,True,0
258_6,2.0,2.0,,,,,,,True,0
258_7,2.0,2.0,,,,,,,True,0
258_8,2.0,2.0,,,,,,,True,0
258_9,2.0,2.0,,,,,,,True,0
258_10,2.0,2.0,,,,,,,True,0
258_11,2.0,2.0,,,,,,,True,0
258_12,2.0,2.0,,,,,,,True,0
258_13,2.0,2.0,,,,,,,True,0
258_14,2.0,2.0,,,,,,,True,0
258_15,2.0,2.0,,,,,,,True,0
258_16,2.0,2.0,,,,,,,True,0
258_17,2.0,2.0,,,,,,,True,0
258_18,2.0,2.0,,,,,,,True,0
258_19,2.0,0.0,,,,,,,True,0
170_0,2.0,,,,,,,2.0,True,0
170_1,2.0,,,,,,,2.0,True,0
170_2,2.0,,,,,,,2.0,True,0
170_3,2.0,,,,,,,2.0,True,0
170_4,2.0,,,,,,,2.0,True,0
170_5,2.0,,,,,,,2.0,True,0
170_6,2.0,,,,,,,2.0,True,0
170_7,2.0,,,,,,,2.0,True,0
170_8,2.0,,,,,,,2.0,True,0
170_9,2.0,,,,,,,2.0,True,0
170_10,2.0,,,,,,,2.0,True,0
170_11,2.0,,,,,,,2.0,True,0
170_12,2.0,,,,,,,2.0,True,0
170_14,2.0,,,,,,,2.0,True,0
170_15,0.0,,,,,,,2.0,True,0
170_16,2.0,,,,,,,2.0,True,0
170_17,2.0,,,,,,,2.0,True,0
170_18,0.0,,,,,,,2.0,True,0
170_19,0.0,,,,,,,2.0,True,0
170_20,2.0,,,,,,,2.0,True,0
170_21,2.0,,,,,,,2.0,True,0
170_22,0.0,,,,,,,2.0,True,0
170_23,0.0,,,,,,,2.0,True,0
170_24,2.0,,,,,,,2.0,True,0
170_25,2.0,,,,,,,2.0,True,0
170_26,2.0,,,,,,,2.0,True,0
170_27,2.0,,,,,,,2.0,True,0
170_28,2.0,,,,,,,2.0,True,0
170_29,0.0,,,,,,,0.0,True,0
170_30,2.0,,,,,,,2.0,True,0
170_31,2.0,,,,,,,2.0,True,0
170_32,2.0,,,,,,,2.0,True,0
170_33,2.0,,,,,,,2.0,True,0
170_34,2.0,,,,,,,2.0,True,0
259_0,2.0,0.0,,,,,,,True,0
259_1,2.0,2.0,,,,,,,True,0
259_2,2.0,2.0,,,,,,,True,0
259_3,2.0,2.0,,,,,,,True,0
259_4,2.0,2.0,,,,,,,True,0
259_5,2.0,2.0,,,,,,,True,0
259_6,0.0,0.0,,,,,,,True,0
259_7,2.0,2.0,,,,,,,True,0
259_8,0.0,0.0,,,,,,,True,0
259_9,0.0,0.0,,,,,,,True,0
259_10,2.0,2.0,,,,,,,True,0
259_11,2.0,2.0,,,,,,,True,0
259_12,2.0,2.0,,,,,,,True,0
259_13,2.0,0.0,,,,,,,True,0
259_14,0.0,2.0,,,,,,,True,0
259_15,2.0,2.0,,,,,,,True,0
259_16,2.0,2.0,,,,,,,True,0
259_17,2.0,2.0,,,,,,,True,0
259_18,2.0,2.0,,,,,,,True,0
259_19,0.0,0.0,,,,,,,True,0
260_0,2.0,2.0,,,,,,,True,0
260_1,2.0,2.0,,,,,,,True,0
260_2,2.0,0.0,,,,,,,True,0
260_3,2.0,2.0,,,,,,,True,0
260_4,2.0,2.0,,,,,,,True,0
260_5,2.0,2.0,,,,,,,True,0
260_6,2.0,2.0,,,,,,,True,0
260_7,2.0,2.0,,,,,,,True,0
260_8,2.0,2.0,,,,,,,True,0
260_9,2.0,2.0,,,,,,,True,0
261_0,2.0,2.0,,,,,,,True,0
261_1,2.0,2.0,,,,,,,True,0
261_2,2.0,2.0,,,,,,,True,0
261_3,2.0,2.0,,,,,,,True,0
261_4,2.0,2.0,,,,,,,True,0
261_5,2.0,2.0,,,,,,,True,0
261_6,2.0,2.0,,,,,,,True,0
261_7,2.0,2.0,,,,,,,True,0
261_8,2.0,2.0,,,,,,,True,0
261_9,2.0,2.0,,,,,,,True,0
261_10,2.0,2.0,,,,,,,True,0
261_11,2.0,2.0,,,,,,,True,0
261_12,0.0,2.0,,,,,,,True,0
261_13,2.0,2.0,,,,,,,True,0
261_14,2.0,2.0,,,,,,,True,0
261_15,2.0,2.0,,,,,,,True,0
261_16,2.0,2.0,,,,,,,True,0
261_17,2.0,2.0,,,,,,,True,0
261_18,0.0,2.0,,,,,,,True,0
261_19,0.0,2.0,,,,,,,True,0
171_0,2.0,,,,,,,2.0,True,0
171_1,2.0,,,,,,,2.0,True,0
171_2,2.0,,,,,,,2.0,True,0
171_3,2.0,,,,,,,2.0,True,0
171_4,2.0,,,,,,,2.0,True,0
171_5,2.0,,,,,,,2.0,True,0
171_6,0.0,,,,,,,2.0,True,0
171_7,2.0,,,,,,,2.0,True,0
171_8,2.0,,,,,,,2.0,True,0
171_9,2.0,,,,,,,2.0,True,0
171_10,2.0,,,,,,,2.0,True,0
171_11,0.0,,,,,,,2.0,True,0
171_12,2.0,,,,,,,2.0,True,0
171_13,2.0,,,,,,,2.0,True,0
171_14,2.0,,,,,,,2.0,True,0
171_16,2.0,,,,,,,2.0,True,0
171_17,2.0,,,,,,,2.0,True,0
171_18,2.0,,,,,,,2.0,True,0
171_19,2.0,,,,,,,2.0,True,0
171_20,2.0,,,,,,,2.0,True,0
171_21,2.0,,,,,,,2.0,True,0
171_22,2.0,,,,,,,2.0,True,0
171_23,2.0,,,,,,,2.0,True,0
171_24,2.0,,,,,,,2.0,True,0
171_26,2.0,,,,,,,2.0,True,0
171_28,2.0,,,,,,,2.0,True,0
171_29,2.0,,,,,,,2.0,True,0
262_0,2.0,2.0,,,,,,,True,0
262_1,2.0,2.0,,,,,,,True,0
262_2,2.0,2.0,,,,,,,True,0
262_3,2.0,2.0,,,,,,,True,0
262_4,2.0,2.0,,,,,,,True,0
262_5,2.0,2.0,,,,,,,True,0
262_6,2.0,2.0,,,,,,,True,0
262_7,2.0,2.0,,,,,,,True,0
262_8,2.0,2.0,,,,,,,True,0
262_9,2.0,2.0,,,,,,,True,0
262_10,2.0,2.0,,,,,,,True,0
